m,word,D,L,n_optimal,min_tax_a1,note
8,21212122,3,3,1,2,
8,21212211,4,4,1,2,
8,21212212,3,3,1,2,
8,21212221,3,3,1,2,
8,21212222,2,2,1,2,
8,21221111,5,5,1,2,
8,21221112,4,4,1,2,
8,21221121,4,4,1,2,
8,21221122,3,3,1,2,
8,21221211,4,4,1,2,
8,21221212,3,3,1,2,
8,21221221,3,3,1,2,
8,21221222,2,2,1,2,
8,21222111,4,4,1,2,
8,21222112,3,3,1,2,
8,21222121,3,3,1,2,
8,21222122,2,2,1,2,
8,21222211,3,3,1,2,
8,21222212,2,2,1,2,
8,21222221,2,2,1,2,
8,21222222,1,1,1,2,
8,22111111,6,6,1,2,
8,22111112,5,5,1,2,
8,22111121,5,5,1,2,
8,22111122,4,4,1,2,
8,22111211,5,5,1,2,
8,22111212,4,4,1,2,
8,22111221,4,4,1,2,
8,22111222,3,3,1,2,
8,22112111,5,5,1,2,
8,22112112,4,4,1,2,
8,22112121,4,4,1,2,
8,22112122,3,3,1,2,
8,22112211,4,4,1,2,
8,22112212,3,3,1,2,
8,22112221,3,3,1,2,
8,22112222,2,2,1,2,
8,22121111,5,5,1,2,
8,22121112,4,4,1,2,
8,22121121,4,4,1,2,
8,22121122,3,3,1,2,
8,22121211,4,4,1,2,
8,22121212,3,3,1,2,
8,22121221,3,3,1,2,
8,22121222,2,2,1,2,
8,22122111,4,4,1,2,
8,22122112,3,3,1,2,
8,22122121,3,3,1,2,
8,22122122,2,2,1,2,
8,22122211,3,3,1,2,
8,22122212,2,2,1,2,
8,22122221,2,2,1,2,
8,22122222,1,1,1,2,
8,22211111,5,5,1,>2,
8,22211112,4,4,1,>2,
8,22211121,4,4,1,>2,
8,22211122,3,3,1,>2,
8,22211211,4,4,1,>2,
8,22211212,3,3,1,>2,
8,22211221,3,3,1,>2,
8,22211222,2,2,1,>2,
8,22212111,4,4,1,>2,
8,22212112,3,3,1,>2,
8,22212121,3,3,1,>2,
8,22212122,2,2,1,>2,
8,22212211,3,3,1,>2,
8,22212212,2,2,1,>2,
8,22212221,2,2,1,>2,
8,22212222,1,1,1,>2,
8,22221111,4,4,1,>2,
8,22221112,3,3,1,>2,
8,22221121,3,3,1,>2,
8,22221122,2,2,1,>2,
8,22221211,3,3,1,>2,
8,22221212,2,2,1,>2,
8,22221221,2,2,1,>2,
8,22221222,1,1,1,>2,
8,22222111,3,3,1,>2,
8,22222112,2,2,1,>2,
8,22222121,2,2,1,>2,
8,22222122,1,1,1,>2,
8,22222211,2,2,1,>2,
8,22222212,1,1,1,>2,
8,22222221,1,1,1,>2,
8,22222222,0,0,1,>2,
9,111111111,9,9,1,SKIPPED(m>8),
9,111111112,8,8,1,SKIPPED(m>8),
9,111111121,8,8,1,SKIPPED(m>8),
9,111111122,7,7,1,SKIPPED(m>8),
9,111111211,8,8,1,SKIPPED(m>8),
9,111111212,7,7,1,SKIPPED(m>8),
9,111111221,7,7,1,SKIPPED(m>8),
9,111111222,6,6,1,SKIPPED(m>8),
9,111112111,8,8,1,SKIPPED(m>8),
9,111112112,7,7,1,SKIPPED(m>8),
9,111112121,7,7,1,SKIPPED(m>8),
9,111112122,6,6,1,SKIPPED(m>8),
9,111112211,7,7,1,SKIPPED(m>8),
9,111112212,6,6,1,SKIPPED(m>8),
9,111112221,6,6,1,SKIPPED(m>8),
9,111112222,5,5,1,SKIPPED(m>8),
9,111121111,8,8,1,SKIPPED(m>8),
9,111121112,7,7,1,SKIPPED(m>8),
9,111121121,7,7,1,SKIPPED(m>8),
9,111121122,6,6,1,SKIPPED(m>8),
