m,L,owner_p,owner_q,owner_sign,matched
275,78,2,7,+1,True
276,78,2,7,+1,True
277,79,2,7,+1,True
278,79,2,7,+1,True
279,79,2,7,+1,True
280,79,2,7,+1,True
281,80,2,7,+1,True
282,80,2,7,+1,True
283,80,2,7,+1,True
284,81,2,7,+1,True
285,81,2,7,+1,True
286,81,2,7,+1,True
287,81,2,7,+1,True
288,82,2,7,+1,True
289,82,2,7,+1,True
290,82,2,7,+1,True
291,82,11,39,+1,True
292,83,2,7,+1,True
293,83,2,7,+1,True
294,83,2,7,+1,True
295,84,2,7,+1,True
296,84,2,7,+1,True
297,84,2,7,+1,True
298,84,11,39,+1,True
299,85,2,7,+1,True
300,85,2,7,+1,True
