source,start_n,k,a,c,d_before,d_after,C_before,at_ceiling
breach,73979,11,1,2,3,4,3,True
breach,37979,3,1,2,0,1,0,True
breach,37979,6,1,2,1,2,1,True
breach,69275,3,1,2,0,1,0,True
breach,69275,6,1,2,1,2,1,True
breach,69275,10,1,2,2,3,2,True
breach,69275,13,1,2,3,4,3,True
breach,2375,1,1,2,0,1,0,True
breach,2375,6,1,2,1,2,1,True
breach,2375,8,1,2,2,3,2,True
breach,2375,27,1,2,3,4,3,True
breach,2375,30,1,2,4,5,4,True
breach,49319,1,1,2,0,1,0,True
breach,49319,6,1,2,1,2,1,True
breach,49319,8,1,2,2,3,2,True
breach,49319,11,1,2,3,4,3,True
breach,49319,13,1,2,4,5,4,True
breach,80615,1,1,2,0,1,0,True
breach,80615,6,1,2,1,2,1,True
breach,80615,8,1,2,2,3,2,True
breach,80615,10,1,2,3,4,3,True
breach,80615,23,1,2,4,5,4,True
breach,37583,1,1,2,0,1,0,True
breach,37583,6,1,2,1,2,1,True
breach,1583,1,1,2,0,1,0,True
breach,1583,6,1,2,1,2,1,True
breach,1583,8,1,2,2,3,2,True
breach,1583,11,1,2,3,4,3,True
breach,1583,30,1,2,4,5,4,True
breach,32879,1,1,2,0,1,0,True
breach,32879,6,1,2,1,2,1,True
breach,32879,8,1,2,2,3,2,True
breach,32879,10,1,2,3,4,3,True
breach,32879,13,1,2,4,5,4,True
breach,550907,6,1,2,0,1,0,True
breach,550907,8,1,2,1,2,1,True
breach,133883,5,1,2,0,1,0,True
breach,133883,8,1,2,1,2,1,True
breach,413531,3,1,2,0,1,0,True
breach,413531,8,1,2,1,2,1,True
breach,413531,10,1,2,2,3,2,True
breach,413531,11,1,2,3,4,3,True
breach,413531,13,1,2,4,5,4,True
breach,660059,3,1,2,0,1,0,True
breach,660059,8,1,2,1,2,1,True
breach,100763,3,1,2,0,1,0,True
breach,100763,8,1,2,1,2,1,True
breach,100763,13,1,2,2,3,2,True
breach,100763,17,1,2,3,4,3,True
breach,347291,3,1,2,0,1,0,True
breach,347291,8,1,2,1,2,1,True
breach,347291,10,1,2,2,3,2,True
breach,4504571,8,1,2,0,1,0,True
breach,4504571,10,1,2,1,2,1,True
breach,4504571,11,1,2,2,3,2,True
breach,2375675,6,1,2,0,1,0,True
breach,2375675,10,1,2,1,2,1,True
breach,2375675,11,1,2,2,3,2,True
breach,2725883,6,1,2,0,1,0,True
breach,2725883,10,1,2,1,2,1,True
breach,253691,5,1,2,0,1,0,True
breach,253691,10,1,2,1,2,1,True
breach,253691,11,1,2,2,3,2,True
breach,3433211,5,1,2,0,1,0,True
breach,3433211,10,1,2,1,2,1,True
breach,3783419,5,1,2,0,1,0,True
breach,3783419,10,1,2,1,2,1,True
breach,3783419,11,1,2,2,3,2,True
breach,3783419,17,1,2,3,4,3,True
breach,3783419,18,1,2,4,5,4,True
breach,3783419,23,1,2,5,6,5,True
breach,3783419,25,1,2,6,7,6,True
breach,4283387,10,1,2,0,1,0,True
breach,4283387,11,1,2,1,2,1,True
breach,818171,8,1,2,0,1,0,True
breach,818171,11,1,2,1,2,1,True
breach,12663803,8,1,2,0,1,0,True
breach,12663803,11,1,2,1,2,1,True
breach,5693435,6,1,2,0,1,0,True
breach,5693435,11,1,2,1,2,1,True
breach,2228219,6,1,2,0,1,0,True
breach,2228219,11,1,2,1,2,1,True
breach,2228219,13,1,2,2,3,2,True
breach,14073851,6,1,2,0,1,0,True
breach,14073851,11,1,2,1,2,1,True
breach,13711355,6,1,2,0,1,0,True
breach,13711355,11,1,2,1,2,1,True
breach,10246139,6,1,2,0,1,0,True
breach,10246139,11,1,2,1,2,1,True
breach,858107,6,1,2,0,1,0,True
breach,858107,11,1,2,1,2,1,True
breach,94526459,11,1,2,0,1,0,True
breach,94526459,13,1,2,1,2,1,True
breach,94526459,15,1,2,2,3,2,True
breach,5463035,10,1,2,0,1,0,True
breach,5463035,13,1,2,1,2,1,True
breach,58031099,8,1,2,0,1,0,True
breach,58031099,13,1,2,1,2,1,True
breach,58031099,17,1,2,2,3,2,True
breach,58031099,18,1,2,3,4,3,True
breach,138836987,8,1,2,0,1,0,True
breach,138836987,13,1,2,1,2,1,True
breach,33700859,8,1,2,0,1,0,True
breach,33700859,13,1,2,1,2,1,True
breach,114506747,8,1,2,0,1,0,True
breach,114506747,13,1,2,1,2,1,True
breach,299785211,13,1,2,0,1,0,True
breach,299785211,15,1,2,1,2,1,True
breach,306863099,11,1,2,0,1,0,True
breach,306863099,15,1,2,1,2,1,True
breach,306863099,18,1,2,2,3,2,True
breach,306863099,20,1,2,3,4,3,True
breach,764566523,11,1,2,0,1,0,True
breach,764566523,15,1,2,1,2,1,True
breach,764566523,23,1,2,2,3,2,True
breach,764566523,25,1,2,3,4,3,True
breach,1324309499,10,1,2,0,1,0,True
breach,1324309499,15,1,2,1,2,1,True
breach,1324309499,18,1,2,2,3,2,True
breach,1324309499,20,1,2,3,4,3,True
breach,1331387387,10,1,2,0,1,0,True
breach,1331387387,15,1,2,1,2,1,True
breach,1331387387,23,1,2,2,3,2,True
breach,430136315,10,1,2,0,1,0,True
breach,430136315,15,1,2,1,2,1,True
breach,430136315,20,1,2,2,3,2,True
breach,430136315,22,1,2,3,4,3,True
breach,4206779387,15,1,2,0,1,0,True
breach,4206779387,17,1,2,1,2,1,True
breach,4206779387,22,1,2,2,3,2,True
breach,4206779387,23,1,2,3,4,3,True
breach,4206779387,30,1,2,4,5,4,True
breach,4206779387,32,1,2,5,6,5,True
breach,4206779387,42,1,2,6,7,6,True
breach,4206779387,44,1,2,7,8,7,True
breach,3810417659,13,1,2,0,1,0,True
breach,3810417659,17,1,2,1,2,1,True
breach,3810417659,20,1,2,2,3,2,True
breach,3546176507,13,1,2,0,1,0,True
breach,3546176507,17,1,2,1,2,1,True
breach,8899419131,11,1,2,0,1,0,True
breach,8899419131,17,1,2,1,2,1,True
breach,93311,1,1,2,0,1,0,True
breach,93311,3,1,2,1,2,1,True
breach,93311,5,1,2,2,3,2,True
breach,93311,10,1,2,3,4,3,True
breach,339227,3,1,2,0,1,0,True
breach,339227,5,1,2,1,2,1,True
breach,339227,6,1,2,2,3,2,True
breach,226151,1,1,2,0,1,0,True
breach,226151,5,1,2,1,2,1,True
breach,226151,6,1,2,2,3,2,True
breach,226151,11,1,2,3,4,3,True
breach,150767,1,1,2,0,1,0,True
breach,150767,5,1,2,1,2,1,True
breach,150767,6,1,2,2,3,2,True
breach,150767,8,1,2,3,4,3,True
breach,473759,1,1,2,0,1,0,True
breach,473759,3,1,2,1,2,1,True
breach,473759,6,1,2,2,3,2,True
breach,1062335,1,1,2,0,1,0,True
breach,1062335,3,1,2,1,2,1,True
breach,1062335,6,1,2,2,3,2,True
breach,1062335,8,1,2,3,4,3,True
breach,4608251,5,1,2,0,1,0,True
breach,4608251,6,1,2,1,2,1,True
breach,4608251,8,1,2,2,3,2,True
breach,4608251,11,1,2,3,4,3,True
breach,4608251,13,1,2,4,5,4,True
breach,4608251,18,1,2,5,6,5,True
breach,4608251,20,1,2,6,7,6,True
breach,5466203,3,1,2,0,1,0,True
breach,5466203,6,1,2,1,2,1,True
breach,5466203,8,1,2,2,3,2,True
breach,6038171,3,1,2,0,1,0,True
breach,6038171,6,1,2,1,2,1,True
breach,6038171,8,1,2,2,3,2,True
breach,447515,3,1,2,0,1,0,True
breach,447515,5,1,2,1,2,1,True
breach,447515,8,1,2,2,3,2,True
breach,2214215,1,1,2,0,1,0,True
breach,2214215,6,1,2,1,2,1,True
breach,2214215,8,1,2,2,3,2,True
breach,2214215,13,1,2,3,4,3,True
breach,3072167,1,1,2,0,1,0,True
breach,3072167,6,1,2,1,2,1,True
breach,3072167,8,1,2,2,3,2,True
breach,3072167,10,1,2,3,4,3,True
breach,3072167,13,1,2,4,5,4,True
breach,3072167,18,1,2,5,6,5,True
breach,3072167,20,1,2,6,7,6,True
breach,3644135,1,1,2,0,1,0,True
breach,3644135,6,1,2,1,2,1,True
breach,3644135,8,1,2,2,3,2,True
breach,3644135,29,1,2,3,4,3,True
breach,7011431,1,1,2,0,1,0,True
breach,7011431,5,1,2,1,2,1,True
breach,7011431,8,1,2,2,3,2,True
breach,618191,1,1,2,0,1,0,True
breach,618191,6,1,2,1,2,1,True
breach,618191,8,1,2,2,3,2,True
breach,1476143,1,1,2,0,1,0,True
breach,1476143,6,1,2,1,2,1,True
breach,1476143,8,1,2,2,3,2,True
breach,1476143,13,1,2,3,4,3,True
breach,1476143,15,1,2,4,5,4,True
breach,2048111,1,1,2,0,1,0,True
breach,2048111,6,1,2,1,2,1,True
breach,2048111,8,1,2,2,3,2,True
breach,2048111,10,1,2,3,4,3,True
breach,2048111,11,1,2,4,5,4,True
breach,2048111,15,1,2,5,6,5,True
breach,2048111,20,1,2,6,7,6,True
breach,2048111,22,1,2,7,8,7,True
breach,5415407,1,1,2,0,1,0,True
breach,5415407,5,1,2,1,2,1,True
breach,5415407,8,1,2,2,3,2,True
breach,6384095,1,1,2,0,1,0,True
breach,6384095,3,1,2,1,2,1,True
breach,6384095,8,1,2,2,3,2,True
breach,6384095,10,1,2,3,4,3,True
breach,6384095,11,1,2,4,5,4,True
breach,6384095,18,1,2,5,6,5,True
breach,6384095,23,1,2,6,7,6,True
breach,6384095,25,1,2,7,8,7,True
breach,6956063,1,1,2,0,1,0,True
breach,6956063,3,1,2,1,2,1,True
breach,6956063,8,1,2,2,3,2,True
breach,6956063,15,1,2,3,4,3,True
breach,1365407,1,1,2,0,1,0,True
breach,1365407,3,1,2,1,2,1,True
breach,1365407,8,1,2,2,3,2,True
breach,1365407,10,1,2,3,4,3,True
breach,1365407,11,1,2,4,5,4,True
breach,1365407,15,1,2,5,6,5,True
breach,1365407,20,1,2,6,7,6,True
breach,1365407,22,1,2,7,8,7,True
breach,1365407,23,1,2,8,9,8,True
breach,7242047,1,1,2,0,1,0,True
breach,7242047,3,1,2,1,2,1,True
breach,7242047,8,1,2,2,3,2,True
breach,1651391,1,1,2,0,1,0,True
breach,1651391,3,1,2,1,2,1,True
breach,1651391,8,1,2,2,3,2,True
breach,43239419,6,1,2,0,1,0,True
