k,climb,supports,drops
194,32,81,113
195,33,81,114
196,32,82,114
197,33,82,115
198,32,83,115
199,33,83,116
200,32,84,116
201,33,84,117
202,34,84,118
203,33,85,118
204,34,85,119
205,33,86,119
206,34,86,120
207,35,86,121
208,34,87,121
209,35,87,122
210,34,88,122
211,35,88,123
212,36,88,124
213,35,89,124
214,36,89,125
215,35,90,125
216,36,90,126
217,35,91,126
218,36,91,127
219,37,91,128
220,36,92,128
221,37,92,129
222,36,93,129
223,37,93,130
224,38,93,131
225,37,94,131
226,38,94,132
227,37,95,132
228,38,95,133
229,37,96,133
230,38,96,134
231,39,96,135
232,38,97,135
233,39,97,136
234,38,98,136
235,39,98,137
236,40,98,138
237,39,99,138
238,40,99,139
239,39,100,139
240,40,100,140
241,39,101,140
242,40,101,141
243,41,101,142
244,40,102,142
245,41,102,143
246,40,103,143
247,41,103,144
248,42,103,145
249,41,104,145
250,42,104,146
251,41,105,146
252,42,105,147
253,41,106,147
254,42,106,148
255,43,106,149
256,42,107,149
257,43,107,150
258,42,108,150
259,43,108,151
260,44,108,152
261,43,109,152
262,44,109,153
263,43,110,153
264,44,110,154
265,45,110,155
266,44,111,155
267,45,111,156
268,44,112,156
269,45,112,157
270,44,113,157
271,45,113,158
272,46,113,159
273,45,114,159
274,46,114,160
275,45,115,160
276,46,115,161
277,47,115,162
278,46,116,162
279,47,116,163
280,46,117,163
281,47,117,164
282,46,118,164
283,47,118,165
284,48,118,166
285,47,119,166
286,48,119,167
287,47,120,167
288,48,120,168
289,49,120,169
290,48,121,169
291,49,121,170
292,48,122,170
293,49,122,171
294,48,123,171
295,49,123,172
296,50,123,173
297,49,124,173
298,50,124,174
299,49,125,174
300,50,125,175
301,51,125,176
302,50,126,176
303,51,126,177
304,50,127,177
305,51,127,178
306,50,128,178
307,51,128,179
308,52,128,180
309,51,129,180
310,52,129,181
311,51,130,181
312,52,130,182
313,53,130,183
314,52,131,183
315,53,131,184
316,52,132,184
317,53,132,185
318,54,132,186
319,53,133,186
320,54,133,187
321,53,134,187
322,54,134,188
323,53,135,188
324,54,135,189
325,55,135,190
326,54,136,190
327,55,136,191
328,54,137,191
329,55,137,192
330,56,137,193
331,55,138,193
332,56,138,194
333,55,139,194
334,56,139,195
335,55,140,195
336,56,140,196
337,57,140,197
338,56,141,197
339,57,141,198
340,56,142,198
341,57,142,199
342,58,142,200
343,57,143,200
344,58,143,201
345,57,144,201
346,58,144,202
347,57,145,202
348,58,145,203
349,59,145,204
350,58,146,204
351,59,146,205
352,58,147,205
353,59,147,206
354,60,147,207
355,59,148,207
356,60,148,208
357,59,149,208
358,60,149,209
359,61,149,210
360,60,150,210
361,61,150,211
362,60,151,211
363,61,151,212
364,60,152,212
365,61,152,213
366,62,152,214
367,61,153,214
368,62,153,215
369,61,154,215
370,62,154,216
371,63,154,217
372,62,155,217
373,63,155,218
374,62,156,218
375,63,156,219
376,62,157,219
377,63,157,220
378,64,157,221
379,63,158,221
380,64,158,222
381,63,159,222
382,64,159,223
383,65,159,224
384,64,160,224
385,65,160,225
386,64,161,225
387,65,161,226
388,64,162,226
389,65,162,227
390,66,162,228
391,65,163,228
392,66,163,229
393,65,164,229
394,66,164,230
395,67,164,231
396,66,165,231
397,67,165,232
398,66,166,232
399,67,166,233
400,66,167,233
401,67,167,234
402,68,167,235
403,67,168,235
404,68,168,236
405,67,169,236
406,68,169,237
407,69,169,238
408,68,170,238
409,69,170,239
410,68,171,239
411,69,171,240
412,70,171,241
413,69,172,241
414,70,172,242
415,69,173,242
416,70,173,243
417,69,174,243
418,70,174,244
419,71,174,245
