alphabet,m,word,D,L,is_break,min_k_g_loop,predicted_break,agree,direction
"{1,2,3}",6,213321,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,213331,1,1,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,221113,2,3,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,221123,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,221132,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,221133,0,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,221213,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,221223,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,221232,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,221313,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,221322,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,221331,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,222113,1,2,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,222123,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,222132,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,222213,0,1,True,0,False,False,A_break_but_loopsafe
"{1,2,3}",6,222223,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,222232,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,222233,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,222313,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,222322,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,222323,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,222332,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,222333,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223113,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223123,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223132,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223133,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223213,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223222,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223223,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223232,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223233,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223313,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223322,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223323,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223332,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,223333,0,0,False,-4,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231113,2,2,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231123,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231132,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231213,1,1,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231223,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231232,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231233,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231313,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231322,0,0,False,-1,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231323,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231332,0,0,False,-2,True,False,B_loopunsafe_but_nobreak
"{1,2,3}",6,231333,0,0,False,-3,True,False,B_loopunsafe_but_nobreak
