start_n,step_k,C_before,C_after,d_before,d_after,a_k,c_k,x_entry,x_exit,residue_mod,residue_next_mod,m_used,source,delta_before,delta_after,in_shell_before,in_shell_after,D_m,near_ceil_before,near_ceil_after,returned_200,return_steps,return_reason
210964383,76,17,18,17,18,1,2,37960764365951,56941146548927,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,78,18,19,18,19,1,2,85411719823391,128117579735087,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,80,19,20,19,20,1,2,192176369602631,288264554403947,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,87,20,21,20,21,1,2,410439180000935,615658770001403,155,233,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,88,21,22,21,22,1,2,615658770001403,923488155002105,233,350,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
210964383,114,22,23,22,23,1,2,1423288258026947,2134932387040421,674,647,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,5,0,1,0,1,1,2,416249759,624374639,236,719,6,high_reserve,0,0,False,True,2,True,True,True,1,d_le_C_before
219259131,6,1,2,1,2,1,2,624374639,936561959,719,350,6,high_reserve,0,0,True,False,2,True,True,True,1,d_le_C_before
219259131,8,2,3,2,3,1,2,1404842939,2107264409,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,32,3,4,3,4,1,2,2886875471,4330313207,479,719,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,34,4,5,4,5,1,2,6495469811,9743204717,350,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,42,5,6,5,6,1,2,10404486683,15606730025,395,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,46,6,7,6,7,1,2,26336356919,39504535379,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,47,7,8,7,8,1,2,39504535379,59256803069,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,52,8,9,8,9,1,2,74996891387,112495337081,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,70,9,10,9,10,1,2,216479095343,324718643015,404,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,71,10,11,10,11,1,2,324718643015,487077964523,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,76,11,12,11,12,1,2,616458048851,924687073277,137,206,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,82,12,13,12,13,1,2,1755460615679,2633190923519,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,83,13,14,13,14,1,2,2633190923519,3949786385279,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,85,14,15,14,15,1,2,5924679577919,8887019366879,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,87,15,16,15,16,1,2,13330529050319,19995793575479,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,88,16,17,16,17,1,2,19995793575479,29993690363219,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,94,17,18,17,18,1,2,56941146548927,85411719823391,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,95,18,19,18,19,1,2,85411719823391,128117579735087,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,97,19,20,19,20,1,2,192176369602631,288264554403947,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,104,20,21,20,21,1,2,410439180000935,615658770001403,155,233,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,105,21,22,21,22,1,2,615658770001403,923488155002105,233,350,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
219259131,131,22,23,22,23,1,2,1423288258026947,2134932387040421,674,647,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,1,0,1,0,1,1,2,333375815,500063723,470,341,6,high_reserve,0,0,False,True,2,True,True,True,1,d_le_C_before
222250543,6,1,2,1,2,1,2,632893151,949339727,137,206,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,8,2,3,2,3,1,2,1424009591,2136014387,674,647,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,20,3,4,3,4,1,2,2886875471,4330313207,479,719,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,22,4,5,4,5,1,2,6495469811,9743204717,350,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,30,5,6,5,6,1,2,10404486683,15606730025,395,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,34,6,7,6,7,1,2,26336356919,39504535379,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,35,7,8,7,8,1,2,39504535379,59256803069,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,42,8,9,8,9,1,2,84371502811,126557254217,364,182,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,58,9,10,9,10,1,2,216479095343,324718643015,404,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,59,10,11,10,11,1,2,324718643015,487077964523,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,64,11,12,11,12,1,2,616458048851,924687073277,137,206,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,70,12,13,12,13,1,2,1755460615679,2633190923519,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,71,13,14,13,14,1,2,2633190923519,3949786385279,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,73,14,15,14,15,1,2,5924679577919,8887019366879,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,75,15,16,15,16,1,2,13330529050319,19995793575479,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,76,16,17,16,17,1,2,19995793575479,29993690363219,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,82,17,18,17,18,1,2,56941146548927,85411719823391,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,83,18,19,18,19,1,2,85411719823391,128117579735087,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,85,19,20,19,20,1,2,192176369602631,288264554403947,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,92,20,21,20,21,1,2,410439180000935,615658770001403,155,233,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,95,21,22,21,22,1,2,692616116251579,1038924174377369,445,668,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
222250543,119,22,23,22,23,1,2,1423288258026947,2134932387040421,674,647,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,3,0,1,0,1,1,2,416249759,624374639,236,719,6,high_reserve,0,0,False,True,2,True,True,True,1,d_le_C_before
246666523,5,1,2,1,2,1,2,936561959,1404842939,350,161,6,high_reserve,0,0,True,False,2,True,True,True,1,d_le_C_before
246666523,6,2,3,2,3,1,2,1404842939,2107264409,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,30,3,4,3,4,1,2,2886875471,4330313207,479,719,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,32,4,5,4,5,1,2,6495469811,9743204717,350,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,42,5,6,5,6,1,2,11705047519,17557571279,445,668,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,44,6,7,6,7,1,2,26336356919,39504535379,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,49,7,8,7,8,1,2,49997927591,74996891387,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,52,8,9,8,9,1,2,84371502811,126557254217,364,182,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,68,9,10,9,10,1,2,216479095343,324718643015,404,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,70,10,11,10,11,1,2,487077964523,730616946785,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,78,11,12,11,12,1,2,780204718079,1170307077119,107,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,80,12,13,12,13,1,2,1755460615679,2633190923519,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,82,13,14,13,14,1,2,3949786385279,5924679577919,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,83,14,15,14,15,1,2,5924679577919,8887019366879,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,85,15,16,15,16,1,2,13330529050319,19995793575479,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,87,16,17,16,17,1,2,29993690363219,44990535544829,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,92,17,18,17,18,1,2,56941146548927,85411719823391,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,94,18,19,18,19,1,2,128117579735087,192176369602631,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,95,19,20,19,20,1,2,192176369602631,288264554403947,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,102,20,21,20,21,1,2,410439180000935,615658770001403,155,233,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,105,21,22,21,22,1,2,692616116251579,1038924174377369,445,668,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
246666523,129,22,23,22,23,1,2,1423288258026947,2134932387040421,674,647,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,1,0,1,0,1,1,2,479707247,719560871,461,692,6,high_reserve,0,0,False,True,2,True,True,True,1,d_le_C_before
319804831,3,1,2,1,2,1,2,1079341307,1619011961,674,647,6,high_reserve,0,0,True,True,2,True,True,True,1,d_le_C_before
319804831,8,2,3,2,3,1,2,2049062015,3073593023,479,719,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,10,3,4,3,4,1,2,4610389535,6915584303,350,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,11,4,5,4,5,1,2,6915584303,10373376455,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,13,5,6,5,6,1,2,15560064683,23340097025,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,22,6,7,6,7,1,2,37386322415,56079483623,647,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,23,7,8,7,8,1,2,56079483623,84119225435,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,27,8,9,8,9,1,2,141951192923,212926789385,182,638,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,30,9,10,9,10,1,2,239542638059,359313957089,263,395,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,35,10,11,10,11,1,2,454756726943,682135090415,206,674,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,37,11,12,11,12,1,2,1023202635623,1534803953435,647,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,41,12,13,12,13,1,2,2589981671423,3884972507135,182,638,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,42,13,14,13,14,1,2,3884972507135,5827458760703,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,44,14,15,14,15,1,2,8741188141055,13111782211583,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,46,15,16,15,16,1,2,19667673317375,29501509976063,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,47,16,17,16,17,1,2,29501509976063,44252264964095,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,49,17,18,17,18,1,2,66378397446143,99567596169215,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,51,18,19,18,19,1,2,149351394253823,224027091380735,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,52,19,20,19,20,1,2,224027091380735,336040637071103,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,54,20,21,20,21,1,2,504060955606655,756091433409983,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,56,21,22,21,22,1,2,1134137150114975,1701205725172463,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,58,22,23,22,23,1,2,2551808587758695,3827712881638043,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,59,23,24,23,24,1,2,3827712881638043,5741569322457065,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,63,24,25,24,25,1,2,9688898231646299,14533347347469449,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,66,25,26,25,26,1,2,16350015765903131,24525023648854697,668,638,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,70,26,27,26,27,1,2,41385977407442303,62078966111163455,395,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,71,27,28,27,28,1,2,62078966111163455,93118449166745183,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,73,28,29,28,29,1,2,139677673750117775,209516510625176663,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
319804831,75,29,30,29,30,1,2,314274765937764995,471412148906647493,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,1,0,1,0,1,1,2,116349543839,174524315759,38,422,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,3,1,2,1,2,1,2,261786473639,392679710459,269,404,6,high_reserve,0,0,True,False,2,True,True,True,1,d_le_C_before
77566362559,6,2,3,2,3,1,2,441764674267,662647011401,364,182,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,13,3,4,3,4,1,2,943495451783,1415243177675,107,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,22,4,5,4,5,1,2,2266945920107,3400418880161,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,35,5,6,5,6,1,2,3446811695279,5170217542919,155,233,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,37,6,7,6,7,1,2,7755326314379,11632989471569,350,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,46,7,8,7,8,1,2,18633799785887,27950699678831,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,47,8,9,8,9,1,2,27950699678831,41926049518247,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,49,9,10,9,10,1,2,62889074277371,94333611416057,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,58,10,11,10,11,1,2,151104205200383,226656307800575,449,674,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,59,11,12,11,12,1,2,226656307800575,339984461700863,674,647,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,61,12,13,12,13,1,2,509976692551295,764965038826943,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,63,13,14,13,14,1,2,1147447558240415,1721171337360623,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,64,14,15,14,15,1,2,1721171337360623,2581757006040935,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,66,15,16,15,16,1,2,3872635509061403,5808953263592105,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,70,16,17,16,17,1,2,9802608632311679,14703912948467519,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,71,17,18,17,18,1,2,14703912948467519,22055869422701279,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,73,18,19,18,19,1,2,33083804134051919,49625706201077879,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,75,19,20,19,20,1,2,74438559301616819,111657838952425229,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,87,20,21,20,21,1,2,150908288550607871,226362432825911807,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,88,21,22,21,22,1,2,226362432825911807,339543649238867711,161,242,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,90,22,23,22,23,1,2,509315473858301567,763973210787452351,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,92,23,24,23,24,1,2,1145959816181178527,1718939724271767791,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,94,24,25,24,25,1,2,2578409586407651687,3867614379611477531,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,95,25,26,25,26,1,2,3867614379611477531,5801421569417216297,728,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,99,26,27,26,27,1,2,9789898898391552503,14684848347587328755,638,593,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,100,27,28,27,28,1,2,14684848347587328755,22027272521380993133,593,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,117,28,29,28,29,1,2,28258617359961692891,42387926039942539337,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,124,29,30,29,30,1,2,60353121256090060895,90529681884135091343,107,161,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
77566362559,126,30,31,30,31,1,2,135794522826202637015,203691784239303955523,242,728,6,high_reserve,0,0,False,False,2,True,True,True,1,d_le_C_before
2591,1,0,1,0,1,1,2,3887,5831,242,728,6,breach_candidate,0,0,False,True,2,True,True,True,1,d_le_C_before
2591,3,1,2,1,2,1,2,8747,13121,728,728,6,breach_candidate,0,0,True,True,2,True,True,True,1,d_le_C_before
7451,3,0,1,0,1,1,2,12575,18863,182,638,6,breach_candidate,0,0,False,False,2,True,True,True,1,d_le_C_before
