family,m,target_r,D_actual,model,diff,mechanism,ray_touches,chain
golden-per8,6,74,2,-1,-3,D_no_ray_contact,,"2,1;1,2;2,4;1,1;2,2;2,1"
golden-per8,6,76,1,-2,-3,D_no_ray_contact,,"2,2;1,3;2,1;1,2;2,1;2,2"
golden-per8,6,77,4,0,-4,D_no_ray_contact,,"2,1;1,1;2,1;1,2;2,4;2,3"
golden-per8,6,79,6,3,-3,D_no_ray_contact,,"2,1;1,2;2,1;1,1;2,6;2,4"
golden-per8,6,80,1,-1,-2,B_rides+1_costlier_than_model,0:+1;1:+1,"2,2;1,1;2,5;1,1;2,1;2,1"
golden-per8,7,4,3,1,-2,D_no_ray_contact,,"2,2;2,4;1,1;2,1;1,2;2,3;2,2"
golden-per8,7,5,2,1,-1,D_no_ray_contact,,"2,2;2,2;1,1;2,3;1,1;2,2;2,3"
golden-per8,7,7,5,3,-2,D_no_ray_contact,,"2,1;2,2;1,4;2,1;1,2;2,2;2,4"
golden-per8,7,8,2,0,-2,D_no_ray_contact,,"2,2;2,4;1,1;2,1;1,2;2,3;2,1"
golden-per8,7,10,1,0,-1,D_no_ray_contact,,"2,2;2,2;1,1;2,3;1,1;2,2;2,2"
golden-per8,7,11,3,0,-3,D_no_ray_contact,,"2,1;2,1;1,2;2,1;1,4;2,1;2,3"
golden-per8,8,4,3,2,-1,D_no_ray_contact,,"1,2;2,2;2,1;1,3;2,1;1,2;2,3;2,2"
golden-per8,8,7,5,3,-2,D_no_ray_contact,,"1,1;2,1;2,2;1,4;2,1;1,2;2,2;2,4"
golden-per8,8,8,2,1,-1,D_no_ray_contact,,"1,2;2,2;2,1;1,3;2,1;1,2;2,3;2,1"
golden-per8,8,14,4,2,-2,D_no_ray_contact,,"1,1;2,1;2,2;1,4;2,1;1,2;2,2;2,3"
golden-per8,8,16,6,5,-1,D_no_ray_contact,,"1,2;2,1;2,2;1,1;2,1;1,5;2,2;2,4"
golden-per8,8,17,2,0,-2,D_no_ray_contact,,"1,1;2,1;2,2;1,1;2,4;1,1;2,3;2,1"
sqrt2-per12,3,4,2,1,-1,D_no_ray_contact,,"2,2;1,3;2,2"
sqrt2-per12,3,8,1,0,-1,D_no_ray_contact,,"2,2;1,3;2,1"
sqrt2-per12,4,5,2,1,-1,D_no_ray_contact,,"1,1;2,1;1,2;2,3"
sqrt2-per12,4,10,1,0,-1,D_no_ray_contact,,"1,1;2,1;1,2;2,2"
sqrt2-per12,4,31,3,2,-1,D_no_ray_contact,,"1,2;2,2;1,3;2,2"
sqrt2-per12,4,43,3,2,-1,D_no_ray_contact,,"1,1;2,1;1,2;2,4"
sqrt2-per12,4,62,2,1,-1,D_no_ray_contact,,"1,2;2,2;1,3;2,1"
sqrt2-per12,4,67,2,1,-1,D_no_ray_contact,,"1,2;2,3;1,1;2,2"
sqrt2-per12,5,4,2,1,-1,D_no_ray_contact,,"1,1;1,1;2,2;1,3;2,2"
sqrt2-per12,5,5,2,1,-1,D_no_ray_contact,,"1,2;1,1;2,1;1,2;2,3"
sqrt2-per12,5,8,1,0,-1,D_no_ray_contact,,"1,1;1,1;2,2;1,3;2,1"
sqrt2-per12,5,10,1,0,-1,D_no_ray_contact,,"1,2;1,1;2,1;1,2;2,2"
sqrt2-per12,5,13,2,1,-1,D_no_ray_contact,,"1,2;1,1;2,3;1,1;2,2"
sqrt2-per12,5,22,3,2,-1,D_no_ray_contact,,"1,2;1,1;2,4;1,1;2,2"
sqrt2-per12,5,25,6,5,-1,D_no_ray_contact,,"1,2;1,1;2,1;1,3;2,6"
