m,word_label,word,L,slack_bound,n_chains_in_band,n_non_loop_chains
8,random038,21122112,4,5,2,1
8,random039,11112212,5,6,1,0
8,random040,12212221,3,4,2,1
8,random041,12212122,3,4,1,0
8,random042,11121112,6,7,2,1
8,random043,11111112,7,8,2,1
8,random044,21222122,2,3,1,0
8,random045,21111212,5,6,1,0
8,random046,21221222,2,3,1,0
8,random047,21121212,4,5,1,0
8,random048,12212112,4,5,2,1
8,random049,11111211,7,8,4,3
8,random050,11122211,5,6,4,3
8,random051,12212212,3,4,1,0
8,random052,12122221,3,4,2,1
8,random053,21122121,4,5,3,2
8,random054,12212111,5,6,4,3
8,random055,11111222,5,6,1,0
8,random056,11221121,5,6,3,2
8,random057,22222212,1,2,1,0
8,random058,11112121,6,7,3,2
8,random059,21112112,5,6,2,1
8,random060,12112112,5,6,2,1
8,random061,22112221,3,4,2,1
8,random062,22212211,3,4,4,3
8,random063,22122112,3,4,2,1
8,random064,11222222,2,3,1,0
8,random065,11221222,3,4,1,0
8,random066,11121212,5,6,1,0
8,random067,22121111,5,6,4,3
8,random068,12122111,5,6,4,3
8,random069,11122122,4,5,1,0
8,random070,21211122,4,5,1,0
8,random071,21111111,7,8,4,3
8,random072,11111111,8,9,4,3
8,random073,22112222,2,3,1,0
8,random074,21121221,4,5,2,1
8,random075,11221112,5,6,2,1
8,random076,21121122,4,5,1,0
8,random077,22111211,5,6,4,3
8,random078,22121122,3,4,1,0
8,random079,21222111,4,5,4,3
8,random080,22211211,4,5,4,3
8,random081,11112211,6,7,4,3
8,random082,12121221,4,5,2,1
8,random083,22122212,2,3,1,0
8,random084,12222121,3,4,3,2
8,random085,21121222,3,4,1,0
8,random086,12221112,4,5,2,1
8,random087,22212122,2,3,1,0
8,random088,12221211,4,5,4,3
8,random089,21221122,3,4,1,0
8,random090,21212112,4,5,2,1
8,random091,12111122,5,6,1,0
8,random092,12221222,2,3,1,0
8,random093,22222122,1,2,1,0
8,random094,11121122,5,6,1,0
8,random095,21211221,4,5,2,1
8,random096,22122122,2,3,1,0
8,random097,11122221,4,5,2,1
8,random098,22121121,4,5,3,2
8,random099,11212212,4,5,1,0
8,random100,12221122,3,4,1,0
8,random101,21112222,3,4,1,0
8,random102,22222112,2,3,2,1
8,random103,11222212,3,4,1,0
8,random104,22121222,2,3,1,0
8,random105,21112111,6,7,4,3
8,random106,12112222,3,4,1,0
8,random107,11222221,3,4,2,1
8,random108,11212222,3,4,1,0
8,random109,21112121,5,6,3,2
8,random110,11211211,6,7,4,3
8,random111,22211112,4,5,2,1
8,random112,21111112,6,7,2,1
8,random113,22221121,3,4,3,2
8,random114,11122112,5,6,2,1
8,random115,22111111,6,7,4,3
8,random116,12211212,4,5,1,0
8,random117,22121212,3,4,1,0
8,random118,12111111,7,8,4,3
8,random119,12221212,3,4,1,0
8,random120,12211111,6,7,4,3
8,random121,12122212,3,4,1,0
8,random122,22112211,4,5,4,3
8,random123,22112212,3,4,1,0
8,random124,12211221,4,5,2,1
8,random125,12112111,6,7,4,3
8,random126,22221112,3,4,2,1
8,random127,11222111,5,6,4,3
8,random128,12122211,4,5,4,3
8,random129,21212211,4,5,4,3
