m,word_label,word,a_seq,L,slack_bound,k_star_1indexed,chain_max,rho_at_kstar,rho_mod3,rho_mod9,rho_mod27,left_loop_ray_exact,left_1ray_mod3_coarse,g_at_kstar,g_loop_at_kstar,diff_g_minus_gloop,residue_independent_check
7,random000,2221121,"2,4,3,2,1,1,2",3,4,4,4,17,2,8,17,True,True,4,1,3,True
7,random001,1212221,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random002,2122211,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random002,2122211,"2,2,4,3,2,1,1",3,4,4,4,13,1,4,13,True,False,4,1,3,True
7,random002,2122211,"2,4,3,2,1,1,2",3,4,3,4,13,1,4,13,True,False,4,1,3,True
7,random004,2212211,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random004,2212211,"2,2,4,3,2,1,1",3,4,4,4,13,1,4,13,True,False,4,1,3,True
7,random004,2212211,"2,4,3,2,1,1,2",3,4,3,4,13,1,4,13,True,False,4,1,3,True
7,random008,1121211,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random008,1121211,"2,2,4,3,2,1,1",5,6,4,6,13,1,4,13,True,False,6,3,3,True
7,random008,1121211,"2,4,3,2,1,1,2",5,6,4,6,17,2,8,17,True,True,6,3,3,True
7,random011,1211111,"2,2,2,2,2,4,1",6,7,6,7,5,2,5,5,True,True,7,5,2,True
7,random011,1211111,"2,2,4,3,2,1,1",6,7,5,7,17,2,8,17,True,True,7,4,3,True
7,random011,1211111,"2,4,3,2,1,1,2",6,7,7,7,9,0,0,9,True,True,7,6,1,True
7,random012,2112111,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random012,2112111,"2,2,4,3,2,1,1",5,6,5,6,17,2,8,17,True,True,6,3,3,True
7,random012,2112111,"2,4,3,2,1,1,2",5,6,7,6,9,0,0,9,True,True,6,5,1,True
7,random014,1122211,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random014,1122211,"2,2,4,3,2,1,1",4,5,4,5,13,1,4,13,True,False,5,2,3,True
7,random014,1122211,"2,4,3,2,1,1,2",4,5,3,5,13,1,4,13,True,False,5,2,3,True
7,random015,1211221,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random017,2122121,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random017,2122121,"2,4,3,2,1,1,2",3,4,3,4,13,1,4,13,True,False,4,1,3,True
7,random018,2111112,"2,4,3,2,1,1,2",5,6,4,6,17,2,8,17,True,True,6,3,3,True
7,random023,2111221,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random024,1221112,"2,4,3,2,1,1,2",4,5,4,5,17,2,8,17,True,True,5,2,3,True
7,random025,1222221,"2,2,2,2,2,4,1",2,3,6,3,5,2,5,5,True,True,3,1,2,True
7,random027,1121111,"2,2,2,2,2,4,1",6,7,6,7,5,2,5,5,True,True,7,5,2,True
7,random027,1121111,"2,2,4,3,2,1,1",6,7,5,7,17,2,8,17,True,True,7,4,3,True
7,random027,1121111,"2,4,3,2,1,1,2",6,7,7,7,9,0,0,9,True,True,7,6,1,True
7,random028,2121211,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random028,2121211,"2,2,4,3,2,1,1",4,5,4,5,13,1,4,13,True,False,5,2,3,True
7,random028,2121211,"2,4,3,2,1,1,2",4,5,4,5,17,2,8,17,True,True,5,2,3,True
7,random030,1122121,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random030,1122121,"2,4,3,2,1,1,2",4,5,3,5,13,1,4,13,True,False,5,2,3,True
7,random031,1111112,"2,4,3,2,1,1,2",6,7,4,7,17,2,8,17,True,True,7,4,3,True
7,random032,2121111,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random032,2121111,"2,2,4,3,2,1,1",5,6,5,6,17,2,8,17,True,True,6,3,3,True
