C,m,depth,lineage_cohort,precision_layer,thin_slot_index,thin_phase_mod_53,phase_mod_53,deficit
3,9,2000,aggregate_terminal_compatible_support,5,15,36,50,1
3,9,2000,aggregate_terminal_compatible_support,5,16,38,51,1
3,9,2000,aggregate_terminal_compatible_support,5,17,40,52,1
3,9,2000,aggregate_terminal_compatible_support,5,18,43,0,2
3,9,2000,aggregate_terminal_compatible_support,5,19,45,1,2
3,9,2000,aggregate_terminal_compatible_support,5,20,48,2,2
3,9,2000,aggregate_terminal_compatible_support,5,21,50,3,2
3,9,2000,aggregate_terminal_compatible_support,6,0,0,4,2
3,9,2000,aggregate_terminal_compatible_support,6,1,2,5,2
3,9,2000,aggregate_terminal_compatible_support,6,2,4,6,2
3,9,2000,aggregate_terminal_compatible_support,6,3,7,7,2
3,9,2000,aggregate_terminal_compatible_support,6,4,9,8,2
3,9,2000,aggregate_terminal_compatible_support,6,5,12,9,2
3,9,2000,aggregate_terminal_compatible_support,6,6,14,10,2
3,9,2000,aggregate_terminal_compatible_support,6,7,16,11,2
3,9,2000,aggregate_terminal_compatible_support,6,8,19,12,2
3,9,2000,aggregate_terminal_compatible_support,6,9,21,13,2
3,9,2000,aggregate_terminal_compatible_support,6,10,24,14,2
3,9,2000,aggregate_terminal_compatible_support,6,11,26,15,2
3,9,2000,aggregate_terminal_compatible_support,6,12,28,16,2
3,9,2000,aggregate_terminal_compatible_support,6,13,31,17,2
3,9,2000,aggregate_terminal_compatible_support,6,14,33,18,2
3,9,2000,aggregate_terminal_compatible_support,6,15,36,19,2
3,9,2000,aggregate_terminal_compatible_support,6,16,38,20,2
3,9,2000,aggregate_terminal_compatible_support,6,17,40,21,2
3,9,2000,aggregate_terminal_compatible_support,6,18,43,22,2
3,9,2000,aggregate_terminal_compatible_support,6,19,45,23,2
3,9,2000,aggregate_terminal_compatible_support,6,20,48,24,2
3,9,2000,aggregate_terminal_compatible_support,6,21,50,25,2
3,9,2000,aggregate_terminal_compatible_support,7,0,0,26,2
3,9,2000,aggregate_terminal_compatible_support,7,1,2,27,2
3,9,2000,aggregate_terminal_compatible_support,7,2,4,28,2
3,9,2000,aggregate_terminal_compatible_support,7,3,7,29,2
3,9,2000,aggregate_terminal_compatible_support,7,4,9,30,2
3,9,2000,aggregate_terminal_compatible_support,7,5,12,31,2
3,9,2000,aggregate_terminal_compatible_support,7,6,14,32,2
3,9,2000,aggregate_terminal_compatible_support,7,7,16,33,2
3,9,2000,aggregate_terminal_compatible_support,7,8,19,34,2
3,9,2000,aggregate_terminal_compatible_support,7,9,21,35,2
3,9,2000,aggregate_terminal_compatible_support,7,10,24,36,2
3,9,2000,aggregate_terminal_compatible_support,7,11,26,37,2
3,9,2000,aggregate_terminal_compatible_support,7,12,28,38,2
3,9,2000,aggregate_terminal_compatible_support,7,13,31,39,2
3,9,2000,aggregate_terminal_compatible_support,7,14,33,40,2
3,9,2000,aggregate_terminal_compatible_support,7,15,36,41,2
3,9,2000,aggregate_terminal_compatible_support,7,16,38,42,2
3,9,2000,aggregate_terminal_compatible_support,7,17,40,43,2
3,9,2000,aggregate_terminal_compatible_support,7,18,43,44,2
3,9,2000,aggregate_terminal_compatible_support,7,19,45,45,2
3,9,2000,aggregate_terminal_compatible_support,7,20,48,46,2
3,9,2000,aggregate_terminal_compatible_support,7,21,50,47,2
3,9,2000,aggregate_terminal_compatible_support,8,0,0,48,2
3,9,2000,aggregate_terminal_compatible_support,8,1,2,49,2
3,9,2000,aggregate_terminal_compatible_support,8,2,4,50,2
3,9,2000,aggregate_terminal_compatible_support,8,3,7,51,2
3,9,2000,aggregate_terminal_compatible_support,8,4,9,52,2
3,9,2000,aggregate_terminal_compatible_support,8,5,12,0,3
3,9,2000,aggregate_terminal_compatible_support,8,6,14,1,3
3,9,2000,aggregate_terminal_compatible_support,8,7,16,2,3
3,9,2000,aggregate_terminal_compatible_support,8,8,19,3,3
3,9,2000,aggregate_terminal_compatible_support,8,9,21,4,3
3,9,2000,aggregate_terminal_compatible_support,8,10,24,5,3
3,9,2000,aggregate_terminal_compatible_support,8,11,26,6,3
3,9,2000,aggregate_terminal_compatible_support,8,12,28,7,3
3,9,2000,aggregate_terminal_compatible_support,8,13,31,8,3
3,9,2000,aggregate_terminal_compatible_support,8,14,33,9,3
3,9,2000,aggregate_terminal_compatible_support,8,15,36,10,3
