source,start_n,k0,L,n_upcrossings,d_before,d_after,x_entry,word
breach_candidate,1331387387,13,3,1,1,2,2024327791,111
breach_candidate,1331387387,22,2,1,2,3,4863872551,11
breach_candidate,430136315,9,2,1,0,1,516746407,11
breach_candidate,430136315,14,2,1,1,2,981010759,11
breach_candidate,430136315,18,5,2,2,4,1241591743,11111
breach_candidate,4206779387,14,4,2,0,2,4797195295,1111
breach_candidate,4206779387,20,4,2,2,4,13660763167,1111
breach_candidate,4206779387,30,3,2,5,6,98468555215,111
breach_candidate,4206779387,41,4,2,6,8,266165300767,1111
breach_candidate,3810417659,12,2,1,0,1,3862404199,11
breach_candidate,3810417659,15,3,1,1,2,6517807087,111
breach_candidate,3810417659,19,2,1,2,3,16498199191,11
breach_candidate,3546176507,12,3,1,0,1,3594557935,111
breach_candidate,3546176507,16,2,1,1,2,9098724775,11
breach_candidate,8899419131,11,2,1,1,1,12027781687,11
breach_candidate,8899419131,14,4,1,0,2,10148440799,1111
breach_candidate,93311,0,6,3,0,3,93311,111111
breach_candidate,93311,8,3,1,3,4,597871,111
breach_candidate,339227,2,5,3,0,3,381631,11111
breach_candidate,226151,0,2,1,0,1,226151,11
breach_candidate,226151,3,5,2,1,3,381631,11111
breach_candidate,226151,10,2,1,3,4,1630135,11
breach_candidate,150767,0,3,1,0,1,150767,111
breach_candidate,150767,4,5,3,1,4,381631,11111
breach_candidate,473759,0,4,2,0,2,473759,1111
breach_candidate,473759,5,2,1,2,3,1798807,11
breach_candidate,1062335,0,5,2,0,2,1062335,11111
breach_candidate,1062335,6,4,2,3,4,6050335,1111
breach_candidate,4608251,4,6,3,0,3,5832319,111111
breach_candidate,4608251,11,3,2,4,5,49825327,111
breach_candidate,4608251,16,5,2,4,7,94590271,11111
breach_candidate,5466203,2,2,1,0,1,6149479,11
breach_candidate,5466203,5,4,2,1,3,10377247,1111
breach_candidate,6038171,2,3,1,0,1,6792943,111
breach_candidate,6038171,6,3,2,2,3,17194639,111
breach_candidate,447515,2,4,2,0,2,503455,1111
breach_candidate,447515,7,2,1,2,3,1911559,11
breach_candidate,2214215,0,2,1,0,1,2214215,11
breach_candidate,2214215,4,5,2,0,3,2802367,11111
breach_candidate,2214215,11,4,1,3,4,11970271,1111
breach_candidate,3072167,0,2,1,0,1,3072167,11
breach_candidate,3072167,5,6,3,1,4,5832319,111111
breach_candidate,3072167,12,3,1,4,5,49825327,111
breach_candidate,3072167,17,5,2,5,7,94590271,11111
breach_candidate,3644135,0,2,1,0,1,3644135,11
breach_candidate,3644135,6,4,2,2,3,10377247,1111
breach_candidate,3644135,28,2,1,3,4,37910551,11
breach_candidate,7011431,0,2,1,0,1,7011431,11
breach_candidate,7011431,3,3,1,1,2,11831791,111
breach_candidate,7011431,7,2,1,2,3,29949223,11
breach_candidate,618191,0,3,1,0,1,618191,111
breach_candidate,618191,4,5,2,0,3,782399,11111
breach_candidate,1476143,0,3,1,0,1,1476143,111
breach_candidate,1476143,5,5,2,1,3,2802367,11111
breach_candidate,1476143,12,4,2,3,5,11970271,1111
breach_candidate,2048111,0,3,1,0,1,2048111,111
breach_candidate,2048111,6,6,4,2,5,5832319,111111
breach_candidate,2048111,13,3,1,5,6,49825327,111
breach_candidate,2048111,18,5,2,6,8,94590271,11111
breach_candidate,5415407,0,3,1,0,1,5415407,111
breach_candidate,5415407,4,2,1,1,2,13707751,11
breach_candidate,5415407,7,2,1,2,3,23131831,11
breach_candidate,6384095,0,4,2,0,2,6384095,1111
breach_candidate,6384095,5,7,3,1,5,12119807,1111111
breach_candidate,6384095,18,1,1,6,6,294843883,1
breach_candidate,6384095,21,6,2,5,8,248774527,111111
breach_candidate,6956063,0,4,2,0,2,6956063,1111
breach_candidate,6956063,6,4,1,2,3,19808479,1111
breach_candidate,6956063,12,4,1,2,4,28203871,1111
breach_candidate,1365407,0,4,2,0,2,1365407,1111
breach_candidate,1365407,7,6,3,2,5,5832319,111111
breach_candidate,1365407,14,3,1,5,6,49825327,111
breach_candidate,1365407,19,5,3,6,9,94590271,11111
breach_candidate,7242047,0,5,2,0,2,7242047,11111
breach_candidate,7242047,6,3,1,2,3,20622863,111
breach_candidate,1651391,0,5,2,0,2,1651391,11111
breach_candidate,1651391,7,2,1,2,3,7053895,11
breach_candidate,43239419,6,5,3,1,3,61565503,11111
breach_candidate,38988539,4,2,1,0,1,49344871,11
breach_candidate,38988539,7,4,2,1,3,83269471,1111
breach_candidate,12266747,4,3,2,0,2,15525103,111
breach_candidate,12266747,8,6,3,2,5,39297919,111111
breach_candidate,42227963,4,4,2,0,2,53444767,1111
breach_candidate,42227963,9,4,2,2,4,202923103,1111
breach_candidate,38457179,2,2,1,0,1,43264327,11
breach_candidate,38457179,6,5,2,1,3,54756415,11111
breach_candidate,34206299,2,2,1,0,1,38482087,11
breach_candidate,34206299,7,4,2,1,3,73055839,1111
breach_candidate,7484507,2,2,1,0,1,8420071,11
breach_candidate,7484507,5,2,1,1,2,14208871,11
breach_candidate,7484507,8,8,4,2,6,23977471,11111111
breach_candidate,37445723,2,2,1,0,1,42126439,11
breach_candidate,37445723,5,3,1,1,2,71088367,111
breach_candidate,37445723,9,4,2,2,4,179942431,1111
breach_candidate,37445723,15,3,1,4,5,512414191,111
breach_candidate,37445723,19,2,1,5,6,1297048423,11
breach_candidate,37445723,22,5,2,6,8,2188769215,11111
breach_candidate,37445723,36,4,2,8,10,9983840287,1111
breach_candidate,35269019,2,3,1,0,1,39677647,111
breach_candidate,35269019,6,5,2,1,3,50217023,11111
breach_candidate,31018139,2,3,1,0,1,34895407,111
breach_candidate,31018139,7,4,2,1,3,66246751,1111
breach_candidate,4296347,2,3,1,0,1,4833391,111
breach_candidate,4296347,6,1,1,2,2,12234523,1
breach_candidate,4296347,8,7,3,2,5,13763839,1111111
breach_candidate,4296347,20,5,2,5,7,111612991,11111
breach_candidate,34257563,2,3,1,0,1,38539759,111
breach_candidate,34257563,6,2,1,2,2,97553767,11
breach_candidate,34257563,9,4,2,2,4,164621983,1111
breach_candidate,34257563,14,2,1,4,5,625049095,11
breach_candidate,34257563,30,1,1,6,6,1603741315,1
breach_candidate,28892699,2,4,2,0,2,32504287,1111
breach_candidate,28892699,7,4,1,1,3,61707359,1111
breach_candidate,2170907,2,4,2,0,2,2442271,1111
breach_candidate,2170907,8,7,3,2,5,6954751,1111111
breach_candidate,2170907,16,5,3,5,8,89121343,11111
breach_candidate,32132123,2,4,2,0,2,36148639,1111
breach_candidate,32132123,9,4,2,2,4,154408351,1111
breach_candidate,32132123,16,4,2,4,6,659552863,1111
breach_candidate,32132123,22,11,4,4,10,469544959,11111111111
breach_candidate,30021839,0,3,1,0,1,30021839,111
breach_candidate,30021839,7,6,3,1,4,64118911,111111
breach_candidate,3300047,0,3,1,0,1,3300047,111
breach_candidate,3300047,4,3,1,0,2,4176623,111
breach_candidate,3300047,8,3,1,2,3,10572079,111
breach_candidate,33261263,0,3,1,0,1,33261263,111
breach_candidate,33261263,4,4,1,0,2,42096287,1111
breach_candidate,33261263,9,2,1,2,3,159834343,11
breach_candidate,33261263,12,2,1,3,4,269720455,11
breach_candidate,29490479,0,3,1,0,1,29490479,111
breach_candidate,29490479,6,7,3,1,4,41989375,1111111
breach_candidate,25239599,0,3,1,0,1,25239599,111
breach_candidate,25239599,7,6,3,1,4,53905279,111111
breach_candidate,25239599,20,6,1,2,5,81961087,111111
breach_candidate,70181423,0,3,1,0,1,70181423,111
breach_candidate,70181423,5,2,1,1,2,133235047,11
breach_candidate,70181423,8,4,2,2,4,224834143,1111
breach_candidate,28479023,0,3,1,0,1,28479023,111
breach_candidate,28479023,5,3,1,1,2,54065647,111
breach_candidate,28479023,9,2,1,2,3,136853671,11
breach_candidate,28479023,14,3,1,3,4,259808143,111
breach_candidate,26302319,0,3,1,0,1,26302319,111
breach_candidate,26302319,6,7,3,1,4,37449983,1111111
breach_candidate,22051439,0,3,1,0,1,22051439,111
breach_candidate,22051439,7,6,3,1,4,47096191,111111
breach_candidate,66993263,0,3,1,0,1,66993263,111
breach_candidate,66993263,6,1,1,2,2,190773787,1
breach_candidate,66993263,8,4,2,2,4,214620511,1111
breach_candidate,25290863,0,3,1,0,1,25290863,111
breach_candidate,25290863,6,2,1,2,2,72019687,11
breach_candidate,25290863,9,2,1,2,3,121533223,11
breach_candidate,19925999,0,3,1,0,1,19925999,111
breach_candidate,19925999,4,2,1,1,2,50437687,11
breach_candidate,19925999,7,6,2,1,4,42556799,111111
breach_candidate,559871,0,7,4,0,4,559871,1111111
breach_candidate,38534939,2,7,4,0,4,43351807,1111111
breach_candidate,38534939,10,3,1,4,5,555529711,111
breach_candidate,38534939,14,2,1,5,6,1406184583,11
breach_candidate,39126887,0,2,1,0,1,39126887,11
breach_candidate,39126887,3,6,3,1,4,66026623,111111
breach_candidate,26084591,0,3,1,0,1,26084591,111
