family,m,mod_target,target_r,D_actual,model_prediction,match,best_ray,note
golden-per8,4,81,65,2,,NO_RAY_TOUCHED,,
golden-per8,4,81,67,1,,NO_RAY_TOUCHED,,
golden-per8,4,81,68,3,,NO_RAY_TOUCHED,,
golden-per8,4,81,70,2,1,False,+1,
golden-per8,4,81,71,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,73,3,,NO_RAY_TOUCHED,,
golden-per8,4,81,74,0,1,False,+1,
golden-per8,4,81,76,0,,NO_RAY_TOUCHED,,
golden-per8,4,81,77,4,,NO_RAY_TOUCHED,,
golden-per8,4,81,79,5,,NO_RAY_TOUCHED,,
golden-per8,4,81,80,0,-4,False,-1,
golden-per8,5,27,1,2,2,True,+1,
golden-per8,5,27,2,1,2,False,+1,
golden-per8,5,27,4,2,,NO_RAY_TOUCHED,,
golden-per8,5,27,5,1,,NO_RAY_TOUCHED,,
golden-per8,5,27,7,3,,NO_RAY_TOUCHED,,
golden-per8,5,27,8,1,,NO_RAY_TOUCHED,,
golden-per8,5,27,10,0,,NO_RAY_TOUCHED,,
golden-per8,5,27,11,2,,NO_RAY_TOUCHED,,
golden-per8,5,27,13,1,,NO_RAY_TOUCHED,,
golden-per8,5,27,14,2,,NO_RAY_TOUCHED,,
golden-per8,5,27,16,4,,NO_RAY_TOUCHED,,
golden-per8,5,27,17,1,,NO_RAY_TOUCHED,,
golden-per8,5,27,19,2,,NO_RAY_TOUCHED,,
golden-per8,5,27,20,0,,NO_RAY_TOUCHED,,
golden-per8,5,27,22,2,,NO_RAY_TOUCHED,,
golden-per8,5,27,23,4,2,False,+1,
golden-per8,5,27,25,5,,NO_RAY_TOUCHED,,
golden-per8,5,27,26,0,,NO_RAY_TOUCHED,,
golden-per8,5,81,1,2,2,True,+1,
golden-per8,5,81,2,1,2,False,+1,
golden-per8,5,81,4,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,5,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,7,3,,NO_RAY_TOUCHED,,
golden-per8,5,81,8,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,10,0,,NO_RAY_TOUCHED,,
golden-per8,5,81,11,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,13,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,14,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,16,4,,NO_RAY_TOUCHED,,
golden-per8,5,81,17,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,19,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,20,0,,NO_RAY_TOUCHED,,
golden-per8,5,81,22,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,23,4,2,False,+1,
golden-per8,5,81,25,5,,NO_RAY_TOUCHED,,
golden-per8,5,81,26,0,,NO_RAY_TOUCHED,,
golden-per8,5,81,28,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,29,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,31,3,,NO_RAY_TOUCHED,,
golden-per8,5,81,32,3,,NO_RAY_TOUCHED,,
golden-per8,5,81,34,4,,NO_RAY_TOUCHED,,
golden-per8,5,81,35,3,2,False,+1,
golden-per8,5,81,37,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,38,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,40,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,41,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,43,4,,NO_RAY_TOUCHED,,
golden-per8,5,81,44,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,46,3,2,False,+1,
golden-per8,5,81,47,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,49,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,50,4,,NO_RAY_TOUCHED,,
golden-per8,5,81,52,4,,NO_RAY_TOUCHED,,
golden-per8,5,81,53,2,2,True,+1,
golden-per8,5,81,55,3,,NO_RAY_TOUCHED,,
golden-per8,5,81,56,0,,NO_RAY_TOUCHED,,
golden-per8,5,81,58,4,,NO_RAY_TOUCHED,,
golden-per8,5,81,59,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,61,4,2,False,+1,
golden-per8,5,81,62,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,64,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,65,2,,NO_RAY_TOUCHED,,
golden-per8,5,81,67,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,68,3,,NO_RAY_TOUCHED,,
golden-per8,5,81,70,4,,NO_RAY_TOUCHED,,
golden-per8,5,81,71,0,,NO_RAY_TOUCHED,,
golden-per8,5,81,73,4,,NO_RAY_TOUCHED,,
golden-per8,5,81,74,1,,NO_RAY_TOUCHED,,
golden-per8,5,81,76,0,,NO_RAY_TOUCHED,,
golden-per8,5,81,77,4,,NO_RAY_TOUCHED,,
golden-per8,5,81,79,6,,NO_RAY_TOUCHED,,
golden-per8,5,81,80,0,,NO_RAY_TOUCHED,,
golden-per8,6,27,1,2,2,True,+1,
golden-per8,6,27,2,1,2,False,+1,
golden-per8,6,27,4,2,,NO_RAY_TOUCHED,,
golden-per8,6,27,5,2,,NO_RAY_TOUCHED,,
golden-per8,6,27,7,4,,NO_RAY_TOUCHED,,
golden-per8,6,27,8,1,,NO_RAY_TOUCHED,,
golden-per8,6,27,10,1,,NO_RAY_TOUCHED,,
golden-per8,6,27,11,2,,NO_RAY_TOUCHED,,
golden-per8,6,27,13,1,,NO_RAY_TOUCHED,,
golden-per8,6,27,14,3,,NO_RAY_TOUCHED,,
golden-per8,6,27,16,6,,NO_RAY_TOUCHED,,
golden-per8,6,27,17,2,,NO_RAY_TOUCHED,,
golden-per8,6,27,19,3,,NO_RAY_TOUCHED,,
golden-per8,6,27,20,0,,NO_RAY_TOUCHED,,
golden-per8,6,27,22,2,,NO_RAY_TOUCHED,,
golden-per8,6,27,23,4,2,False,+1,
golden-per8,6,27,25,5,,NO_RAY_TOUCHED,,
golden-per8,6,27,26,0,,NO_RAY_TOUCHED,,
golden-per8,6,81,1,2,2,True,+1,
golden-per8,6,81,2,1,2,False,+1,
golden-per8,6,81,4,2,,NO_RAY_TOUCHED,,
golden-per8,6,81,5,2,,NO_RAY_TOUCHED,,
