family,m,mod_target,target_r,D_actual,model_prediction,match,best_ray,note
golden-per8,9,81,68,5,,NO_RAY_TOUCHED,,
golden-per8,9,81,70,6,,NO_RAY_TOUCHED,,
golden-per8,9,81,71,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,73,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,74,3,,NO_RAY_TOUCHED,,
golden-per8,9,81,76,1,,NO_RAY_TOUCHED,,
golden-per8,9,81,77,4,,NO_RAY_TOUCHED,,
golden-per8,9,81,79,6,,NO_RAY_TOUCHED,,
golden-per8,9,81,80,2,,NO_RAY_TOUCHED,,
golden-per8,10,27,1,3,3,True,+1,
golden-per8,10,27,2,2,3,False,+1,
golden-per8,10,27,4,4,,NO_RAY_TOUCHED,,
golden-per8,10,27,5,4,,NO_RAY_TOUCHED,,
golden-per8,10,27,7,6,,NO_RAY_TOUCHED,,
golden-per8,10,27,8,3,,NO_RAY_TOUCHED,,
golden-per8,10,27,10,3,,NO_RAY_TOUCHED,,
golden-per8,10,27,11,4,,NO_RAY_TOUCHED,,
golden-per8,10,27,13,3,,NO_RAY_TOUCHED,,
golden-per8,10,27,14,5,,NO_RAY_TOUCHED,,
golden-per8,10,27,16,6,,NO_RAY_TOUCHED,,
golden-per8,10,27,17,3,,NO_RAY_TOUCHED,,
golden-per8,10,27,19,4,,NO_RAY_TOUCHED,,
golden-per8,10,27,20,2,,NO_RAY_TOUCHED,,
golden-per8,10,27,22,3,,NO_RAY_TOUCHED,,
golden-per8,10,27,23,5,,NO_RAY_TOUCHED,,
golden-per8,10,27,25,7,,NO_RAY_TOUCHED,,
golden-per8,10,27,26,2,,NO_RAY_TOUCHED,,
golden-per8,10,81,1,3,3,True,+1,
golden-per8,10,81,2,2,3,False,+1,
golden-per8,10,81,4,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,5,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,7,6,,NO_RAY_TOUCHED,,
golden-per8,10,81,8,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,10,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,11,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,13,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,14,5,,NO_RAY_TOUCHED,,
golden-per8,10,81,16,6,,NO_RAY_TOUCHED,,
golden-per8,10,81,17,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,19,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,20,2,,NO_RAY_TOUCHED,,
golden-per8,10,81,22,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,23,5,,NO_RAY_TOUCHED,,
golden-per8,10,81,25,7,,NO_RAY_TOUCHED,,
golden-per8,10,81,26,2,,NO_RAY_TOUCHED,,
golden-per8,10,81,28,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,29,2,,NO_RAY_TOUCHED,,
golden-per8,10,81,31,5,,NO_RAY_TOUCHED,,
golden-per8,10,81,32,5,,NO_RAY_TOUCHED,,
golden-per8,10,81,34,7,,NO_RAY_TOUCHED,,
golden-per8,10,81,35,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,37,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,38,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,40,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,41,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,43,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,44,2,,NO_RAY_TOUCHED,,
golden-per8,10,81,46,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,47,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,49,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,50,6,,NO_RAY_TOUCHED,,
golden-per8,10,81,52,7,,NO_RAY_TOUCHED,,
golden-per8,10,81,53,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,55,5,,NO_RAY_TOUCHED,,
golden-per8,10,81,56,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,58,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,59,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,61,5,,NO_RAY_TOUCHED,,
golden-per8,10,81,62,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,64,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,65,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,67,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,68,6,,NO_RAY_TOUCHED,,
golden-per8,10,81,70,6,,NO_RAY_TOUCHED,,
golden-per8,10,81,71,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,73,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,74,3,,NO_RAY_TOUCHED,,
golden-per8,10,81,76,2,,NO_RAY_TOUCHED,,
golden-per8,10,81,77,4,,NO_RAY_TOUCHED,,
golden-per8,10,81,79,7,,NO_RAY_TOUCHED,,
golden-per8,10,81,80,3,,NO_RAY_TOUCHED,,
sqrt2-per12,2,27,1,1,1,True,+1,
sqrt2-per12,2,27,2,0,1,False,+1,
sqrt2-per12,2,27,4,0,1,False,+1,
sqrt2-per12,2,27,5,2,1,False,+1,
sqrt2-per12,2,27,7,3,1,False,+1,
sqrt2-per12,2,27,8,0,-2,False,-1,
sqrt2-per12,2,81,1,1,1,True,+1,
sqrt2-per12,2,81,2,0,1,False,+1,
sqrt2-per12,2,81,4,0,1,False,+1,
sqrt2-per12,2,81,5,2,1,False,+1,
sqrt2-per12,2,81,7,3,1,False,+1,
sqrt2-per12,2,81,8,0,-2,False,-1,
sqrt2-per12,3,27,1,1,1,True,+1,
sqrt2-per12,3,27,2,0,1,False,+1,
sqrt2-per12,3,27,4,2,,NO_RAY_TOUCHED,,
sqrt2-per12,3,27,5,2,,NO_RAY_TOUCHED,,
sqrt2-per12,3,27,7,3,1,False,+1,
sqrt2-per12,3,27,8,1,,NO_RAY_TOUCHED,,
sqrt2-per12,3,27,10,1,,NO_RAY_TOUCHED,,
sqrt2-per12,3,27,11,1,1,True,+1,
sqrt2-per12,3,27,13,0,,NO_RAY_TOUCHED,,
sqrt2-per12,3,27,14,2,1,False,+1,
sqrt2-per12,3,27,16,3,,NO_RAY_TOUCHED,,
sqrt2-per12,3,27,17,0,1,False,+1,
sqrt2-per12,3,27,19,2,1,False,+1,
sqrt2-per12,3,27,20,0,,NO_RAY_TOUCHED,,
sqrt2-per12,3,27,22,0,1,False,+1,
sqrt2-per12,3,27,23,3,1,False,+1,
sqrt2-per12,3,27,25,4,1,False,+1,
sqrt2-per12,3,27,26,0,-3,False,-1,
sqrt2-per12,3,81,1,1,1,True,+1,
sqrt2-per12,3,81,2,0,1,False,+1,
sqrt2-per12,3,81,4,2,,NO_RAY_TOUCHED,,
sqrt2-per12,3,81,5,2,,NO_RAY_TOUCHED,,
sqrt2-per12,3,81,7,3,1,False,+1,
sqrt2-per12,3,81,8,1,,NO_RAY_TOUCHED,,
sqrt2-per12,3,81,10,1,,NO_RAY_TOUCHED,,
sqrt2-per12,3,81,11,1,1,True,+1,
sqrt2-per12,3,81,13,0,,NO_RAY_TOUCHED,,
sqrt2-per12,3,81,14,2,1,False,+1,
sqrt2-per12,3,81,16,3,,NO_RAY_TOUCHED,,
sqrt2-per12,3,81,17,0,1,False,+1,
sqrt2-per12,3,81,19,2,1,False,+1,
sqrt2-per12,3,81,20,0,,NO_RAY_TOUCHED,,
sqrt2-per12,3,81,22,0,1,False,+1,
sqrt2-per12,3,81,23,3,1,False,+1,
sqrt2-per12,3,81,25,4,1,False,+1,
sqrt2-per12,3,81,26,0,-3,False,-1,
sqrt2-per12,4,27,1,2,2,True,+1,
sqrt2-per12,4,27,2,1,2,False,+1,
sqrt2-per12,4,27,4,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,5,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,7,3,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,8,1,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,10,1,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,11,2,2,True,+1,
sqrt2-per12,4,27,13,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,14,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,16,4,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,17,1,2,False,+1,
sqrt2-per12,4,27,19,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,20,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,22,1,2,False,+1,
sqrt2-per12,4,27,23,4,2,False,+1,
sqrt2-per12,4,27,25,4,,NO_RAY_TOUCHED,,
sqrt2-per12,4,27,26,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,1,2,2,True,+1,
sqrt2-per12,4,81,2,1,2,False,+1,
sqrt2-per12,4,81,4,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,5,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,7,3,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,8,1,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,10,1,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,11,2,2,True,+1,
sqrt2-per12,4,81,13,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,14,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,16,4,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,17,1,2,False,+1,
sqrt2-per12,4,81,19,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,20,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,22,1,2,False,+1,
sqrt2-per12,4,81,23,4,2,False,+1,
sqrt2-per12,4,81,25,4,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,26,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,28,1,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,29,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,31,3,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,32,3,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,34,5,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,35,3,2,False,+1,
sqrt2-per12,4,81,37,1,2,False,+1,
sqrt2-per12,4,81,38,1,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,40,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,41,3,2,False,+1,
sqrt2-per12,4,81,43,3,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,44,0,2,False,+1,
sqrt2-per12,4,81,46,3,2,False,+1,
sqrt2-per12,4,81,47,1,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,49,2,2,True,+1,
sqrt2-per12,4,81,50,3,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,52,5,2,False,+1,
sqrt2-per12,4,81,53,1,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,55,3,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,56,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,58,4,2,False,+1,
sqrt2-per12,4,81,59,2,2,True,+1,
sqrt2-per12,4,81,61,4,2,False,+1,
sqrt2-per12,4,81,62,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,64,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,65,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,67,2,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,68,4,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,70,3,2,False,+1,
sqrt2-per12,4,81,71,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,73,3,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,74,0,2,False,+1,
sqrt2-per12,4,81,76,0,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,77,4,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,79,5,,NO_RAY_TOUCHED,,
sqrt2-per12,4,81,80,0,-4,False,-1,
sqrt2-per12,5,27,1,3,3,True,+1,
sqrt2-per12,5,27,2,2,3,False,+1,
sqrt2-per12,5,27,4,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,5,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,7,4,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,8,1,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,10,1,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,11,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,13,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,14,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,16,5,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,17,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,19,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,20,0,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,22,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,23,5,3,False,+1,
sqrt2-per12,5,27,25,6,,NO_RAY_TOUCHED,,
sqrt2-per12,5,27,26,1,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,1,3,3,True,+1,
sqrt2-per12,5,81,2,2,3,False,+1,
sqrt2-per12,5,81,4,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,5,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,7,4,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,8,1,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,10,1,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,11,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,13,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,14,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,16,5,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,17,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,19,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,20,0,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,22,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,23,5,3,False,+1,
sqrt2-per12,5,81,25,6,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,26,1,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,28,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,29,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,31,4,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,32,4,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,34,5,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,35,4,3,False,+1,
sqrt2-per12,5,81,37,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,38,1,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,40,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,41,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,43,4,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,44,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,46,4,3,False,+1,
sqrt2-per12,5,81,47,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,49,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,50,5,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,52,5,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,53,3,3,True,+1,
sqrt2-per12,5,81,55,4,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,56,1,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,58,5,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,59,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,61,5,3,False,+1,
sqrt2-per12,5,81,62,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,64,3,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,65,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,67,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,68,4,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,70,5,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,71,1,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,73,5,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,74,2,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,76,0,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,77,4,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,79,7,,NO_RAY_TOUCHED,,
sqrt2-per12,5,81,80,1,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,1,3,3,True,+1,
sqrt2-per12,6,27,2,2,3,False,+1,
sqrt2-per12,6,27,4,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,5,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,7,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,8,1,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,10,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,11,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,13,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,14,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,16,6,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,17,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,19,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,20,1,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,22,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,23,5,3,False,+1,
sqrt2-per12,6,27,25,6,,NO_RAY_TOUCHED,,
sqrt2-per12,6,27,26,1,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,1,3,3,True,+1,
sqrt2-per12,6,81,2,2,3,False,+1,
sqrt2-per12,6,81,4,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,5,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,7,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,8,1,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,10,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,11,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,13,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,14,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,16,6,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,17,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,19,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,20,1,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,22,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,23,5,3,False,+1,
sqrt2-per12,6,81,25,6,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,26,1,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,28,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,29,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,31,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,32,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,34,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,35,4,3,False,+1,
sqrt2-per12,6,81,37,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,38,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,40,3,3,True,+1,
sqrt2-per12,6,81,41,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,43,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,44,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,46,4,3,False,+1,
sqrt2-per12,6,81,47,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,49,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,50,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,52,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,53,3,3,True,+1,
sqrt2-per12,6,81,55,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,56,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,58,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,59,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,61,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,62,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,64,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,65,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,67,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,68,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,70,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,71,1,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,73,5,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,74,3,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,76,2,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,77,4,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,79,7,,NO_RAY_TOUCHED,,
sqrt2-per12,6,81,80,2,3,False,+1,
sqrt2-per12,7,27,1,4,4,True,+1,
sqrt2-per12,7,27,2,3,4,False,+1,
sqrt2-per12,7,27,4,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,5,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,7,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,8,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,10,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,11,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,13,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,14,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,16,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,17,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,19,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,20,2,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,22,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,23,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,25,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,27,26,2,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,1,4,4,True,+1,
sqrt2-per12,7,81,2,3,4,False,+1,
sqrt2-per12,7,81,4,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,5,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,7,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,8,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,10,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,11,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,13,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,14,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,16,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,17,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,19,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,20,2,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,22,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,23,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,25,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,26,2,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,28,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,29,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,31,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,32,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,34,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,35,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,37,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,38,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,40,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,41,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,43,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,44,2,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,46,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,47,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,49,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,50,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,52,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,53,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,55,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,56,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,58,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,59,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,61,5,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,62,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,64,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,65,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,67,2,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,68,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,70,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,71,2,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,73,6,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,74,3,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,76,2,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,77,4,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,79,7,,NO_RAY_TOUCHED,,
sqrt2-per12,7,81,80,3,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,1,4,4,True,+1,
sqrt2-per12,8,27,2,3,4,False,+1,
sqrt2-per12,8,27,4,4,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,5,5,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,7,6,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,8,3,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,10,4,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,11,5,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,13,3,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,14,5,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,16,6,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,17,3,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,19,4,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,20,3,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,22,4,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,23,6,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,25,8,,NO_RAY_TOUCHED,,
sqrt2-per12,8,27,26,2,,NO_RAY_TOUCHED,,
sqrt2-per12,8,81,1,4,4,True,+1,
sqrt2-per12,8,81,2,3,4,False,+1,
sqrt2-per12,8,81,4,4,,NO_RAY_TOUCHED,,
sqrt2-per12,8,81,5,5,,NO_RAY_TOUCHED,,
sqrt2-per12,8,81,7,6,,NO_RAY_TOUCHED,,
sqrt2-per12,8,81,8,3,,NO_RAY_TOUCHED,,
sqrt2-per12,8,81,10,4,,NO_RAY_TOUCHED,,
