alphabet,m,word,D_ceil,L,min_g_loop
"{1,2,3}",6,233212,1,0,-2
"{1,2,3}",6,233213,1,0,-2
"{1,2,3}",6,233221,1,0,-2
"{1,2,3}",6,233222,1,0,-2
"{1,2,3}",6,233223,1,0,-3
"{1,2,3}",6,233231,2,0,-3
"{1,2,3}",6,233232,2,0,-3
"{1,2,3}",6,233233,2,0,-4
"{1,2,3}",6,233311,1,0,-3
"{1,2,3}",6,233312,1,0,-3
"{1,2,3}",6,233313,1,0,-3
"{1,2,3}",6,233321,3,0,-3
"{1,2,3}",6,233322,3,0,-3
"{1,2,3}",6,233323,3,0,-4
"{1,2,3}",6,233331,3,0,-4
"{1,2,3}",6,233332,2,0,-4
"{1,2,3}",6,233333,2,0,-5
"{1,2,3}",6,311111,5,4,-1
"{1,2,3}",6,311112,4,3,-1
"{1,2,3}",6,311113,4,3,-1
"{1,2,3}",6,311121,4,3,-1
"{1,2,3}",6,311122,4,2,-1
"{1,2,3}",6,311123,4,2,-1
"{1,2,3}",6,311131,4,2,-1
"{1,2,3}",6,311132,4,2,-1
"{1,2,3}",6,311133,4,2,-1
"{1,2,3}",6,311211,4,3,-1
"{1,2,3}",6,311212,4,2,-1
"{1,2,3}",6,311213,4,2,-1
"{1,2,3}",6,311221,4,2,-1
"{1,2,3}",6,311222,4,1,-1
"{1,2,3}",6,311223,4,1,-1
"{1,2,3}",6,311231,4,1,-1
"{1,2,3}",6,311232,4,1,-1
"{1,2,3}",6,311233,4,1,-1
"{1,2,3}",6,311311,4,2,-1
"{1,2,3}",6,311312,4,1,-1
"{1,2,3}",6,311313,4,1,-1
"{1,2,3}",6,311321,4,1,-1
"{1,2,3}",6,311322,4,1,-1
"{1,2,3}",6,311323,4,1,-1
"{1,2,3}",6,311331,4,1,-1
"{1,2,3}",6,311332,4,1,-1
"{1,2,3}",6,311333,4,1,-2
"{1,2,3}",6,312111,4,3,-1
"{1,2,3}",6,312112,3,2,-1
"{1,2,3}",6,312113,3,2,-1
"{1,2,3}",6,312121,3,2,-1
"{1,2,3}",6,312122,3,1,-1
"{1,2,3}",6,312123,3,1,-1
"{1,2,3}",6,312131,3,1,-1
"{1,2,3}",6,312132,3,1,-1
"{1,2,3}",6,312133,3,1,-1
"{1,2,3}",6,312211,3,2,-1
"{1,2,3}",6,312212,3,1,-1
"{1,2,3}",6,312213,3,1,-1
"{1,2,3}",6,312221,3,1,-1
"{1,2,3}",6,312222,3,0,-1
"{1,2,3}",6,312223,3,0,-1
"{1,2,3}",6,312231,3,0,-1
"{1,2,3}",6,312232,3,0,-1
"{1,2,3}",6,312233,3,0,-2
"{1,2,3}",6,312311,3,1,-1
"{1,2,3}",6,312312,3,0,-1
"{1,2,3}",6,312313,3,0,-1
"{1,2,3}",6,312321,3,0,-1
"{1,2,3}",6,312322,3,0,-1
"{1,2,3}",6,312323,3,0,-2
"{1,2,3}",6,312331,3,0,-2
"{1,2,3}",6,312332,3,0,-2
"{1,2,3}",6,312333,3,0,-3
"{1,2,3}",6,313111,3,2,-1
"{1,2,3}",6,313112,3,1,-1
"{1,2,3}",6,313113,3,1,-1
"{1,2,3}",6,313121,3,1,-1
"{1,2,3}",6,313122,3,0,-1
"{1,2,3}",6,313123,3,0,-1
"{1,2,3}",6,313131,3,0,-1
"{1,2,3}",6,313132,3,0,-1
"{1,2,3}",6,313133,3,0,-2
"{1,2,3}",6,313211,3,1,-1
"{1,2,3}",6,313212,3,0,-1
"{1,2,3}",6,313213,3,0,-1
"{1,2,3}",6,313221,3,0,-1
"{1,2,3}",6,313222,3,0,-1
"{1,2,3}",6,313223,3,0,-2
"{1,2,3}",6,313231,3,0,-2
"{1,2,3}",6,313232,3,0,-2
"{1,2,3}",6,313233,3,0,-3
"{1,2,3}",6,313311,3,0,-2
"{1,2,3}",6,313312,3,0,-2
"{1,2,3}",6,313313,3,0,-2
"{1,2,3}",6,313321,3,0,-2
"{1,2,3}",6,313322,3,0,-2
"{1,2,3}",6,313323,3,0,-3
"{1,2,3}",6,313331,3,0,-3
"{1,2,3}",6,313332,3,0,-3
"{1,2,3}",6,313333,3,0,-4
"{1,2,3}",6,321111,4,3,-1
"{1,2,3}",6,321112,3,2,-1
"{1,2,3}",6,321113,3,2,-1
"{1,2,3}",6,321121,3,2,-1
"{1,2,3}",6,321122,3,1,-1
"{1,2,3}",6,321123,3,1,-1
"{1,2,3}",6,321131,3,1,-1
"{1,2,3}",6,321132,3,1,-1
"{1,2,3}",6,321133,3,1,-1
"{1,2,3}",6,321211,3,2,-1
"{1,2,3}",6,321212,3,1,-1
"{1,2,3}",6,321213,3,1,-1
"{1,2,3}",6,321221,3,1,-1
"{1,2,3}",6,321222,3,0,-1
"{1,2,3}",6,321223,3,0,-1
"{1,2,3}",6,321231,3,0,-1
"{1,2,3}",6,321232,3,0,-1
"{1,2,3}",6,321233,3,0,-2
"{1,2,3}",6,321311,3,1,-1
"{1,2,3}",6,321312,3,0,-1
"{1,2,3}",6,321313,3,0,-1
"{1,2,3}",6,321321,3,0,-1
"{1,2,3}",6,321322,3,0,-1
"{1,2,3}",6,321323,3,0,-2
"{1,2,3}",6,321331,3,0,-2
"{1,2,3}",6,321332,3,0,-2
